Fifty2525,Business Line (group),Business Line,Date Prefix,Revenue Type Note,Adjustments Outcome,No-Adjustments Value,Date,Framework Selection Calculation,Description1,Revenue and Expense Type,Year,Value
Motor Vehicle Cross-subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",31.13552289,31.13552289,1/1/2007,Dedicated Taxes and Subsidies,Petroleum Business Tax Receipts,Dedicated Taxes and Subsidies,2007,31.13552289
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",499.5274914,499.5274914,1/1/2007,Dedicated Taxes and Subsidies,Petroleum Business Tax Receipts,Dedicated Taxes and Subsidies,2007,499.5274914
General Taxpayer Subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",18.96087294,18.96087294,1/1/2007,Dedicated Taxes and Subsidies,State Operating Assistance,Dedicated Taxes and Subsidies,2007,18.96087294
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",10.34680324,10.34680324,1/1/2007,Dedicated Taxes and Subsidies,State Operating Assistance,Dedicated Taxes and Subsidies,2007,10.34680324
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",158.2414462,158.2414462,1/1/2007,Dedicated Taxes and Subsidies,State Operating Assistance,Dedicated Taxes and Subsidies,2007,158.2414462
General Taxpayer Subsidies,New York City Transit,Staten Island Railway,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",0.500130993,0.500130993,1/1/2007,Dedicated Taxes and Subsidies,State Operating Assistance,Dedicated Taxes and Subsidies,2007,0.500130993
General Taxpayer Subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",90.74956143,90.74956143,1/1/2007,Dedicated Taxes and Subsidies,Station Maintenance,Dedicated Taxes and Subsidies,2007,90.74956143
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",49.5213411,49.5213411,1/1/2007,Dedicated Taxes and Subsidies,Station Maintenance,Dedicated Taxes and Subsidies,2007,49.5213411
Motor Vehicle Cross-subsidies,B&T,Bridges and Tunnels,,Includes tolls collected from the MTA's Bridges and Tunnels,538.8778821,538.8778821,1/1/2007,Toll Revenue,"Operating Expense, Debt Service, and Miscellaneous",Toll Revenue,2007,538.8778821
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,Includes tolls collected from the MTA's Bridges and Tunnels,223.121,223.121,1/1/2007,Toll Revenue,B&T-Paid Debt Service,Toll Revenue,2007,223.121
Motor Vehicle Cross-subsidies,LIRR,Long Island Rail Road,,Includes tolls collected from the MTA's Bridges and Tunnels,59.8895024,59.8895024,1/1/2007,Toll Revenue,B&T-Paid Debt Service,Toll Revenue,2007,59.8895024
Motor Vehicle Cross-subsidies,Metro-North,Metro-North Railroad,,Includes tolls collected from the MTA's Bridges and Tunnels,38.9934976,38.9934976,1/1/2007,Toll Revenue,B&T-Paid Debt Service,Toll Revenue,2007,38.9934976
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,Includes tolls collected from the MTA's Bridges and Tunnels,141.2243251,141.2243251,1/1/2007,Toll Revenue,B&T Operating Surplus,Toll Revenue,2007,141.2243251
Motor Vehicle Cross-subsidies,LIRR,Long Island Rail Road,,Includes tolls collected from the MTA's Bridges and Tunnels,160.7323692,160.7323692,1/1/2007,Toll Revenue,B&T Operating Surplus,Toll Revenue,2007,160.7323692
Motor Vehicle Cross-subsidies,Metro-North,Metro-North Railroad,,Includes tolls collected from the MTA's Bridges and Tunnels,87.71042365,87.71042365,1/1/2007,Toll Revenue,B&T Operating Surplus,Toll Revenue,2007,87.71042365
Fares and Other Operating Revenue,LIRR,Long Island Rail Road,,Includes farebox revenue and unused fare media.,0,0,1/1/2007,Fare Revenue,Fare Increase 2021,Fare Revenue,2007,
Fares and Other Operating Revenue,Metro-North,Metro-North Railroad,,Includes farebox revenue and unused fare media.,0,0,1/1/2007,Fare Revenue,Fare Increase 2021,Fare Revenue,2007,
Fares and Other Operating Revenue,MTA Bus,MTA Bus Company,,Includes farebox revenue and unused fare media.,0,0,1/1/2007,Fare Revenue,Fare Increase 2021,Fare Revenue,2007,
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,Includes farebox revenue and unused fare media.,0,0,1/1/2007,Fare Revenue,Fare Increase 2021,Fare Revenue,2007,
Fares and Other Operating Revenue,New York City Transit,Staten Island Railway,,Includes farebox revenue and unused fare media.,0,0,1/1/2007,Fare Revenue,Fare Increase 2021,Fare Revenue,2007,
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,Includes tolls collected from the MTA's Bridges and Tunnels,0,0,1/1/2007,Toll Revenue,Toll Increase 2021,Toll Revenue,2007,
Motor Vehicle Cross-subsidies,LIRR,Long Island Rail Road,,Includes tolls collected from the MTA's Bridges and Tunnels,0,0,1/1/2007,Toll Revenue,Toll Increase 2021,Toll Revenue,2007,
Motor Vehicle Cross-subsidies,Metro-North,Metro-North Railroad,,Includes tolls collected from the MTA's Bridges and Tunnels,0,0,1/1/2007,Toll Revenue,Toll Increase 2021,Toll Revenue,2007,
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",871.8407315,871.8407315,1/1/2007,Dedicated Taxes and Subsidies,Urban Tax,Dedicated Taxes and Subsidies,2007,871.8407315
Fares and Other Operating Revenue,B&T,Bridges and Tunnels,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",13.316,13.316,1/1/2008,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2008,13.316
Fares and Other Operating Revenue,LIRR,Long Island Rail Road,,Includes farebox revenue and unused fare media.,506.8,506.8,1/1/2008,Fare Revenue,Farebox Revenue,Fare Revenue,2008,506.8
Fares and Other Operating Revenue,LIRR,Long Island Rail Road,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",37.8,37.8,1/1/2008,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2008,37.8
General Taxpayer Subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",12.84710274,12.84710274,1/1/2008,Dedicated Taxes and Subsidies,AMTAP,Dedicated Taxes and Subsidies,2008,12.84710274
