Business Line (group),Business Line,Date Prefix,Adjustments Outcome,No-Adjustments Value,Date,Date (group),Description1,Revenue and Expense Type,Year,Value
B&T,Bridges and Tunnels,,20.063,20.063,1/1/2009, ,Health and Welfare,Labor Expense,2009,20.063
B&T,Bridges and Tunnels,,11.677,11.677,1/1/2009, ,OPEB Current Payment,Labor Expense,2009,11.677
B&T,Bridges and Tunnels,,23.63,23.63,1/1/2009, ,Pensions,Labor Expense,2009,23.63
B&T,Bridges and Tunnels,,19.247,19.247,1/1/2009, ,Other Fringe Benefits,Labor Expense,2009,19.247
B&T,Bridges and Tunnels,,-6.491,-6.491,1/1/2009, ,Reimbursable Overhead,Labor Expense,2009,-6.491
B&T,Bridges and Tunnels,,0,0,1/1/2009, ,Electric Power,Non-labor Expense,2009,0
B&T,Bridges and Tunnels,,0,0,1/1/2009, ,Fuel,Non-labor Expense,2009,0
B&T,Bridges and Tunnels,,9.073,9.073,1/1/2009, ,Insurance,Non-labor Expense,2009,9.073
B&T,Bridges and Tunnels,,0,0,1/1/2009, ,Claims,Non-labor Expense,2009,0
B&T,Bridges and Tunnels,,0,0,1/1/2009, ,Paratransit Service Contracts,Non-labor Expense,2009,0
B&T,Bridges and Tunnels,,139.374,139.374,1/1/2009, ,Maintenance and Other Operating Contracts,Non-labor Expense,2009,139.374
B&T,Bridges and Tunnels,,13.831,13.831,1/1/2009, ,Professional Service Contracts,Non-labor Expense,2009,13.831
B&T,Bridges and Tunnels,,12.763,12.763,1/1/2009, ,Materials and Supplies,Non-labor Expense,2009,12.763
B&T,Bridges and Tunnels,,2.283,2.283,1/1/2009, ,Other Business Expenses,Non-labor Expense,2009,2.283
LIRR,Long Island Rail Road,,426.935,426.935,1/1/2009, ,Payroll,Labor Expense,2009,426.935
LIRR,Long Island Rail Road,,91.744,91.744,1/1/2009, ,Overtime,Labor Expense,2009,91.744
LIRR,Long Island Rail Road,,75.428,75.428,1/1/2009, ,Health and Welfare,Labor Expense,2009,75.428
LIRR,Long Island Rail Road,,48.027,48.027,1/1/2009, ,OPEB Current Payment,Labor Expense,2009,48.027
LIRR,Long Island Rail Road,,136.286,136.286,1/1/2009, ,Pensions,Labor Expense,2009,136.286
LIRR,Long Island Rail Road,,92.272,92.272,1/1/2009, ,Other Fringe Benefits,Labor Expense,2009,92.272
LIRR,Long Island Rail Road,,-28.483,-28.483,1/1/2009, ,Reimbursable Overhead,Labor Expense,2009,-28.483
LIRR,Long Island Rail Road,,77.857,77.857,1/1/2009, ,Electric Power,Non-labor Expense,2009,77.857
LIRR,Long Island Rail Road,,13.385,13.385,1/1/2009, ,Fuel,Non-labor Expense,2009,13.385
LIRR,Long Island Rail Road,,15.72,15.72,1/1/2009, ,Insurance,Non-labor Expense,2009,15.72
LIRR,Long Island Rail Road,,11.717,11.717,1/1/2009, ,Claims,Non-labor Expense,2009,11.717
LIRR,Long Island Rail Road,,63.289,63.289,1/1/2009, ,Maintenance and Other Operating Contracts,Non-labor Expense,2009,63.289
LIRR,Long Island Rail Road,,23.082,23.082,1/1/2009, ,Professional Service Contracts,Non-labor Expense,2009,23.082
LIRR,Long Island Rail Road,,103.843,103.843,1/1/2009, ,Materials and Supplies,Non-labor Expense,2009,103.843
LIRR,Long Island Rail Road,,9.394,9.394,1/1/2009, ,Other Business Expenses,Non-labor Expense,2009,9.394
Metro-North,Metro-North Railroad,,385.971,385.971,1/1/2009, ,Payroll,Labor Expense,2009,385.971
Metro-North,Metro-North Railroad,,57.563,57.563,1/1/2009, ,Overtime,Labor Expense,2009,57.563
Metro-North,Metro-North Railroad,,69.239,69.239,1/1/2009, ,Health and Welfare,Labor Expense,2009,69.239
Metro-North,Metro-North Railroad,,10.62,10.62,1/1/2009, ,OPEB Current Payment,Labor Expense,2009,10.62
Metro-North,Metro-North Railroad,,44.991,44.991,1/1/2009, ,Pensions,Labor Expense,2009,44.991
Metro-North,Metro-North Railroad,,79.973,79.973,1/1/2009, ,Other Fringe Benefits,Labor Expense,2009,79.973
Metro-North,Metro-North Railroad,,-42.851,-42.851,1/1/2009, ,Reimbursable Overhead,Labor Expense,2009,-42.851
Metro-North,Metro-North Railroad,,60.52,60.52,1/1/2009, ,Electric Power,Non-labor Expense,2009,60.52
Metro-North,Metro-North Railroad,,12.758,12.758,1/1/2009, ,Fuel,Non-labor Expense,2009,12.758
Metro-North,Metro-North Railroad,,11.853,11.853,1/1/2009, ,Insurance,Non-labor Expense,2009,11.853
Metro-North,Metro-North Railroad,,1.193,1.193,1/1/2009, ,Claims,Non-labor Expense,2009,1.193
Metro-North,Metro-North Railroad,,78.853,78.853,1/1/2009, ,Maintenance and Other Operating Contracts,Non-labor Expense,2009,78.853
Metro-North,Metro-North Railroad,,24.681,24.681,1/1/2009, ,Professional Service Contracts,Non-labor Expense,2009,24.681
Metro-North,Metro-North Railroad,,79.628,79.628,1/1/2009, ,Materials and Supplies,Non-labor Expense,2009,79.628
Metro-North,Metro-North Railroad,,15.536,15.536,1/1/2009, ,Other Business Expenses,Non-labor Expense,2009,15.536
HQ,MTA Headquarters,,143.867,143.867,1/1/2009, ,Payroll,Labor Expense,2009,143.867
HQ,MTA Headquarters,,13.471,13.471,1/1/2009, ,Overtime,Labor Expense,2009,13.471
HQ,MTA Headquarters,,16.057,16.057,1/1/2009, ,Health and Welfare,Labor Expense,2009,16.057
HQ,MTA Headquarters,,5.555,5.555,1/1/2009, ,OPEB Current Payment,Labor Expense,2009,5.555
HQ,MTA Headquarters,,22.773,22.773,1/1/2009, ,Pensions,Labor Expense,2009,22.773
HQ,MTA Headquarters,,11.746,11.746,1/1/2009, ,Other Fringe Benefits,Labor Expense,2009,11.746
HQ,MTA Headquarters,,-31.394,-31.394,1/1/2009, ,Reimbursable Overhead,Labor Expense,2009,-31.394
HQ,MTA Headquarters,,0,0,1/1/2009, ,Electric Power,Non-labor Expense,2009,0
HQ,MTA Headquarters,,0,0,1/1/2009, ,Fuel,Non-labor Expense,2009,0
HQ,MTA Headquarters,,4.208,4.208,1/1/2009, ,Insurance,Non-labor Expense,2009,4.208
HQ,MTA Headquarters,,0,0,1/1/2009, ,Claims,Non-labor Expense,2009,0
HQ,MTA Headquarters,,0,0,1/1/2009, ,Paratransit Service Contracts,Non-labor Expense,2009,0
HQ,MTA Headquarters,,25.241,25.241,1/1/2009, ,Maintenance and Other Operating Contracts,Non-labor Expense,2009,25.241
HQ,MTA Headquarters,,32.79,32.79,1/1/2009, ,Professional Service Contracts,Non-labor Expense,2009,32.79
HQ,MTA Headquarters,,3.683,3.683,1/1/2009, ,Materials and Supplies,Non-labor Expense,2009,3.683
HQ,MTA Headquarters,,90.512,90.512,1/1/2009, ,Other Business Expenses,Non-labor Expense,2009,90.512
HQ,First Mutual Transportation Assurance Company,,-75.469,-75.469,1/1/2009, ,Insurance,Non-labor Expense,2009,-75.469
HQ,First Mutual Transportation Assurance Company,,79.457,79.457,1/1/2009, ,Claims,Non-labor Expense,2009,79.457
HQ,First Mutual Transportation Assurance Company,,9.545,9.545,1/1/2009, ,Other Business Expenses,Non-labor Expense,2009,9.545
New York City Transit,New York City Transit,,2804.65,2804.65,1/1/2009, ,Payroll,Labor Expense,2009,2804.65
New York City Transit,New York City Transit,,247.284,247.284,1/1/2009, ,Overtime,Labor Expense,2009,247.284
New York City Transit,New York City Transit,,474.569,474.569,1/1/2009, ,Health and Welfare,Labor Expense,2009,474.569
New York City Transit,New York City Transit,,248.806,248.806,1/1/2009, ,OPEB Current Payment,Labor Expense,2009,248.806
New York City Transit,New York City Transit,,756.617,756.617,1/1/2009, ,Pensions,Labor Expense,2009,756.617
New York City Transit,New York City Transit,,281.037,281.037,1/1/2009, ,Other Fringe Benefits,Labor Expense,2009,281.037
New York City Transit,New York City Transit,,-213.011,-213.011,1/1/2009, ,Reimbursable Overhead,Labor Expense,2009,-213.011
New York City Transit,New York City Transit,,176.878,176.878,1/1/2009, ,Electric Power,Non-labor Expense,2009,176.878
New York City Transit,New York City Transit,,118.921,118.921,1/1/2009, ,Fuel,Non-labor Expense,2009,118.921
New York City Transit,New York City Transit,,53.869,53.869,1/1/2009, ,Insurance,Non-labor Expense,2009,53.869
New York City Transit,New York City Transit,,114.105,114.105,1/1/2009, ,Claims,Non-labor Expense,2009,114.105
New York City Transit,New York City Transit,,370.094,370.094,1/1/2009, ,Paratransit Service Contracts,Non-labor Expense,2009,370.094
New York City Transit,New York City Transit,,212.724,212.724,1/1/2009, ,Maintenance and Other Operating Contracts,Non-labor Expense,2009,212.724
New York City Transit,New York City Transit,,99.298,99.298,1/1/2009, ,Professional Service Contracts,Non-labor Expense,2009,99.298
New York City Transit,New York City Transit,,299.213,299.213,1/1/2009, ,Materials and Supplies,Non-labor Expense,2009,299.213
New York City Transit,New York City Transit,,53.972,53.972,1/1/2009, ,Other Business Expenses,Non-labor Expense,2009,53.972
MTA Bus,MTA Bus Company,,196.974,196.974,1/1/2009, ,Payroll,Labor Expense,2009,196.974
MTA Bus,MTA Bus Company,,53.812,53.812,1/1/2009, ,Overtime,Labor Expense,2009,53.812
MTA Bus,MTA Bus Company,,27.071,27.071,1/1/2009, ,Health and Welfare,Labor Expense,2009,27.071
MTA Bus,MTA Bus Company,,12.36,12.36,1/1/2009, ,OPEB Current Payment,Labor Expense,2009,12.36
MTA Bus,MTA Bus Company,,29.174,29.174,1/1/2009, ,Pensions,Labor Expense,2009,29.174
MTA Bus,MTA Bus Company,,19.626,19.626,1/1/2009, ,Other Fringe Benefits,Labor Expense,2009,19.626
MTA Bus,MTA Bus Company,,0,0,1/1/2009, ,Reimbursable Overhead,Labor Expense,2009,0
MTA Bus,MTA Bus Company,,0,0,1/1/2009, ,Electric Power,Non-labor Expense,2009,0
MTA Bus,MTA Bus Company,,28.634,28.634,1/1/2009, ,Fuel,Non-labor Expense,2009,28.634
MTA Bus,MTA Bus Company,,14.012,14.012,1/1/2009, ,Insurance,Non-labor Expense,2009,14.012
MTA Bus,MTA Bus Company,,25.3,25.3,1/1/2009, ,Claims,Non-labor Expense,2009,25.3
MTA Bus,MTA Bus Company,,0,0,1/1/2009, ,Paratransit Service Contracts,Non-labor Expense,2009,0
MTA Bus,MTA Bus Company,,21.769,21.769,1/1/2009, ,Maintenance and Other Operating Contracts,Non-labor Expense,2009,21.769
MTA Bus,MTA Bus Company,,3.299,3.299,1/1/2009, ,Professional Service Contracts,Non-labor Expense,2009,3.299
MTA Bus,MTA Bus Company,,22.878,22.878,1/1/2009, ,Materials and Supplies,Non-labor Expense,2009,22.878
MTA Bus,MTA Bus Company,,3.063,3.063,1/1/2009, ,Other Business Expenses,Non-labor Expense,2009,3.063
New York City Transit,Staten Island Railway,,14.587,14.587,1/1/2009, ,Payroll,Labor Expense,2009,14.587
New York City Transit,Staten Island Railway,,1.076,1.076,1/1/2009, ,Overtime,Labor Expense,2009,1.076
New York City Transit,Staten Island Railway,,2.958,2.958,1/1/2009, ,Health and Welfare,Labor Expense,2009,2.958
New York City Transit,Staten Island Railway,,0.508,0.508,1/1/2009, ,OPEB Current Payment,Labor Expense,2009,0.508
New York City Transit,Staten Island Railway,,3.677,3.677,1/1/2009, ,Pensions,Labor Expense,2009,3.677
New York City Transit,Staten Island Railway,,1.321,1.321,1/1/2009, ,Other Fringe Benefits,Labor Expense,2009,1.321
New York City Transit,Staten Island Railway,,0,0,1/1/2009, ,Reimbursable Overhead,Labor Expense,2009,0
New York City Transit,Staten Island Railway,,2.679,2.679,1/1/2009, ,Electric Power,Non-labor Expense,2009,2.679
New York City Transit,Staten Island Railway,,0,0,1/1/2009, ,Fuel,Non-labor Expense,2009,0
New York City Transit,Staten Island Railway,,0.269,0.269,1/1/2009, ,Insurance,Non-labor Expense,2009,0.269
New York City Transit,Staten Island Railway,,4.74,4.74,1/1/2009, ,Claims,Non-labor Expense,2009,4.74
New York City Transit,Staten Island Railway,,0,0,1/1/2009, ,Paratransit Service Contracts,Non-labor Expense,2009,0
New York City Transit,Staten Island Railway,,12.126,12.126,1/1/2009, ,Maintenance and Other Operating Contracts,Non-labor Expense,2009,12.126
New York City Transit,Staten Island Railway,,0.394,0.394,1/1/2009, ,Professional Service Contracts,Non-labor Expense,2009,0.394
New York City Transit,Staten Island Railway,,1.063,1.063,1/1/2009, ,Materials and Supplies,Non-labor Expense,2009,1.063
New York City Transit,Staten Island Railway,,0,0,1/1/2009, ,Other Business Expenses,Non-labor Expense,2009,0
MTA Bus,MTA Bus Company,,14.07,14.07,1/1/2009, ,Total MTA Bus Debt Service,Debt Service,2009,14.07
LIRR,Long Island Rail Road,,249.5298358,249.5298358,1/1/2009, ,Total CRR Debt Service,Debt Service,2009,249.5298358
Metro-North,Metro-North Railroad,,162.3871642,162.3871642,1/1/2009, ,Total CRR Debt Service,Debt Service,2009,162.3871642
New York City Transit,New York City Transit,,810.031,810.031,1/1/2009, ,Total NYCT Debt Service,Debt Service,2009,810.031
New York City Transit,Staten Island Railway,,0,0,1/1/2009, ,Total SIRTOA Debt Service,Debt Service,2009,0
HQ,MTA Headquarters,,3.176,3.176,1/1/2009, ,Total MTA HQ Debt Service for 2 Broadway Certificates of Participation,Debt Service,2009,3.176
B&T,Bridges and Tunnels,,165.258,165.258,1/1/2009, ,Total B&T Debt Service,Debt Service,2009,165.258
Other,Unassigned,,0,0,1/1/2009, ,Pensions Offset,Labor Expense,2009,0
Other,General Reserve,,0,0,1/1/2009, ,General Reserve,Other Expense Adjustments,2009,0
Other,Unassigned,,-14.5,-14.5,1/1/2009, ,Other Expense Adjustments,Other Expense Adjustments,2009,-14.5
Other,Unassigned,,0,0,1/1/2009, ,BAB Subsidy,Debt Service,2009,0
B&T,Bridges and Tunnels,,122.138,122.138,1/1/2010, ,Payroll,Labor Expense,2010,122.138
B&T,Bridges and Tunnels,,18.456,18.456,1/1/2010, ,Overtime,Labor Expense,2010,18.456
B&T,Bridges and Tunnels,,19.553,19.553,1/1/2010, ,Health and Welfare,Labor Expense,2010,19.553
B&T,Bridges and Tunnels,,12.308,12.308,1/1/2010, ,OPEB Current Payment,Labor Expense,2010,12.308
B&T,Bridges and Tunnels,,24.49,24.49,1/1/2010, ,Pensions,Labor Expense,2010,24.49
B&T,Bridges and Tunnels,,18.618,18.618,1/1/2010, ,Other Fringe Benefits,Labor Expense,2010,18.618
B&T,Bridges and Tunnels,,-6.064,-6.064,1/1/2010, ,Reimbursable Overhead,Labor Expense,2010,-6.064
B&T,Bridges and Tunnels,,0,0,1/1/2010, ,Electric Power,Non-labor Expense,2010,0
B&T,Bridges and Tunnels,,0,0,1/1/2010, ,Fuel,Non-labor Expense,2010,0
B&T,Bridges and Tunnels,,6.514,6.514,1/1/2010, ,Insurance,Non-labor Expense,2010,6.514
B&T,Bridges and Tunnels,,0,0,1/1/2010, ,Claims,Non-labor Expense,2010,0
B&T,Bridges and Tunnels,,0,0,1/1/2010, ,Paratransit Service Contracts,Non-labor Expense,2010,0
B&T,Bridges and Tunnels,,122.395,122.395,1/1/2010, ,Maintenance and Other Operating Contracts,Non-labor Expense,2010,122.395
B&T,Bridges and Tunnels,,11.785,11.785,1/1/2010, ,Professional Service Contracts,Non-labor Expense,2010,11.785
B&T,Bridges and Tunnels,,29.845,29.845,1/1/2010, ,Materials and Supplies,Non-labor Expense,2010,29.845
B&T,Bridges and Tunnels,,3.172,3.172,1/1/2010, ,Other Business Expenses,Non-labor Expense,2010,3.172
LIRR,Long Island Rail Road,,419.86,419.86,1/1/2010, ,Payroll,Labor Expense,2010,419.86
LIRR,Long Island Rail Road,,79.507,79.507,1/1/2010, ,Overtime,Labor Expense,2010,79.507
LIRR,Long Island Rail Road,,75.366,75.366,1/1/2010, ,Health and Welfare,Labor Expense,2010,75.366
LIRR,Long Island Rail Road,,48.116,48.116,1/1/2010, ,OPEB Current Payment,Labor Expense,2010,48.116
LIRR,Long Island Rail Road,,139.513,139.513,1/1/2010, ,Pensions,Labor Expense,2010,139.513
LIRR,Long Island Rail Road,,90.19,90.19,1/1/2010, ,Other Fringe Benefits,Labor Expense,2010,90.19
LIRR,Long Island Rail Road,,-26.597,-26.597,1/1/2010, ,Reimbursable Overhead,Labor Expense,2010,-26.597
LIRR,Long Island Rail Road,,79.999,79.999,1/1/2010, ,Electric Power,Non-labor Expense,2010,79.999
LIRR,Long Island Rail Road,,17.219,17.219,1/1/2010, ,Fuel,Non-labor Expense,2010,17.219
LIRR,Long Island Rail Road,,14.745,14.745,1/1/2010, ,Insurance,Non-labor Expense,2010,14.745
LIRR,Long Island Rail Road,,10.29,10.29,1/1/2010, ,Claims,Non-labor Expense,2010,10.29
LIRR,Long Island Rail Road,,64.263,64.263,1/1/2010, ,Maintenance and Other Operating Contracts,Non-labor Expense,2010,64.263
LIRR,Long Island Rail Road,,17.086,17.086,1/1/2010, ,Professional Service Contracts,Non-labor Expense,2010,17.086
LIRR,Long Island Rail Road,,91.974,91.974,1/1/2010, ,Materials and Supplies,Non-labor Expense,2010,91.974
LIRR,Long Island Rail Road,,9.348,9.348,1/1/2010, ,Other Business Expenses,Non-labor Expense,2010,9.348
Metro-North,Metro-North Railroad,,386.24,386.24,1/1/2010, ,Payroll,Labor Expense,2010,386.24
Metro-North,Metro-North Railroad,,54.682,54.682,1/1/2010, ,Overtime,Labor Expense,2010,54.682
Metro-North,Metro-North Railroad,,71.226,71.226,1/1/2010, ,Health and Welfare,Labor Expense,2010,71.226
Metro-North,Metro-North Railroad,,13.002,13.002,1/1/2010, ,OPEB Current Payment,Labor Expense,2010,13.002
Metro-North,Metro-North Railroad,,47.669,47.669,1/1/2010, ,Pensions,Labor Expense,2010,47.669
Metro-North,Metro-North Railroad,,79.345,79.345,1/1/2010, ,Other Fringe Benefits,Labor Expense,2010,79.345
Metro-North,Metro-North Railroad,,-35.009,-35.009,1/1/2010, ,Reimbursable Overhead,Labor Expense,2010,-35.009
Metro-North,Metro-North Railroad,,61.853,61.853,1/1/2010, ,Electric Power,Non-labor Expense,2010,61.853
Metro-North,Metro-North Railroad,,15.891,15.891,1/1/2010, ,Fuel,Non-labor Expense,2010,15.891
Metro-North,Metro-North Railroad,,10.575,10.575,1/1/2010, ,Insurance,Non-labor Expense,2010,10.575
Metro-North,Metro-North Railroad,,7.235,7.235,1/1/2010, ,Claims,Non-labor Expense,2010,7.235
Metro-North,Metro-North Railroad,,88.006,88.006,1/1/2010, ,Maintenance and Other Operating Contracts,Non-labor Expense,2010,88.006
Metro-North,Metro-North Railroad,,27.931,27.931,1/1/2010, ,Professional Service Contracts,Non-labor Expense,2010,27.931
Metro-North,Metro-North Railroad,,78.201,78.201,1/1/2010, ,Materials and Supplies,Non-labor Expense,2010,78.201
Metro-North,Metro-North Railroad,,13.594,13.594,1/1/2010, ,Other Business Expenses,Non-labor Expense,2010,13.594
HQ,MTA Headquarters,,124.305,124.305,1/1/2010, ,Payroll,Labor Expense,2010,124.305
HQ,MTA Headquarters,,7.093,7.093,1/1/2010, ,Overtime,Labor Expense,2010,7.093
HQ,MTA Headquarters,,16.894,16.894,1/1/2010, ,Health and Welfare,Labor Expense,2010,16.894
HQ,MTA Headquarters,,3.091,3.091,1/1/2010, ,OPEB Current Payment,Labor Expense,2010,3.091
HQ,MTA Headquarters,,25.278,25.278,1/1/2010, ,Pensions,Labor Expense,2010,25.278
HQ,MTA Headquarters,,11.98,11.98,1/1/2010, ,Other Fringe Benefits,Labor Expense,2010,11.98
HQ,MTA Headquarters,,-46.238,-46.238,1/1/2010, ,Reimbursable Overhead,Labor Expense,2010,-46.238
HQ,MTA Headquarters,,0,0,1/1/2010, ,Electric Power,Non-labor Expense,2010,0
HQ,MTA Headquarters,,0,0,1/1/2010, ,Fuel,Non-labor Expense,2010,0
HQ,MTA Headquarters,,5.878,5.878,1/1/2010, ,Insurance,Non-labor Expense,2010,5.878
HQ,MTA Headquarters,,0,0,1/1/2010, ,Claims,Non-labor Expense,2010,0
HQ,MTA Headquarters,,0,0,1/1/2010, ,Paratransit Service Contracts,Non-labor Expense,2010,0
HQ,MTA Headquarters,,26.245,26.245,1/1/2010, ,Maintenance and Other Operating Contracts,Non-labor Expense,2010,26.245
HQ,MTA Headquarters,,33.769,33.769,1/1/2010, ,Professional Service Contracts,Non-labor Expense,2010,33.769
HQ,MTA Headquarters,,7.024,7.024,1/1/2010, ,Materials and Supplies,Non-labor Expense,2010,7.024
HQ,MTA Headquarters,,92.635,92.635,1/1/2010, ,Other Business Expenses,Non-labor Expense,2010,92.635
HQ,First Mutual Transportation Assurance Company,,-98.584,-98.584,1/1/2010, ,Insurance,Non-labor Expense,2010,-98.584
HQ,First Mutual Transportation Assurance Company,,90.159,90.159,1/1/2010, ,Claims,Non-labor Expense,2010,90.159
HQ,First Mutual Transportation Assurance Company,,9.361,9.361,1/1/2010, ,Other Business Expenses,Non-labor Expense,2010,9.361
New York City Transit,New York City Transit,,2827.36,2827.36,1/1/2010, ,Payroll,Labor Expense,2010,2827.36
New York City Transit,New York City Transit,,224.273,224.273,1/1/2010, ,Overtime,Labor Expense,2010,224.273
New York City Transit,New York City Transit,,500.749,500.749,1/1/2010, ,Health and Welfare,Labor Expense,2010,500.749
New York City Transit,New York City Transit,,265.361,265.361,1/1/2010, ,OPEB Current Payment,Labor Expense,2010,265.361
New York City Transit,New York City Transit,,749.179,749.179,1/1/2010, ,Pensions,Labor Expense,2010,749.179
New York City Transit,New York City Transit,,304.01,304.01,1/1/2010, ,Other Fringe Benefits,Labor Expense,2010,304.01
New York City Transit,New York City Transit,,-231.009,-231.009,1/1/2010, ,Reimbursable Overhead,Labor Expense,2010,-231.009
New York City Transit,New York City Transit,,180.342,180.342,1/1/2010, ,Electric Power,Non-labor Expense,2010,180.342
New York City Transit,New York City Transit,,121.202,121.202,1/1/2010, ,Fuel,Non-labor Expense,2010,121.202
New York City Transit,New York City Transit,,56.362,56.362,1/1/2010, ,Insurance,Non-labor Expense,2010,56.362
New York City Transit,New York City Transit,,125.632,125.632,1/1/2010, ,Claims,Non-labor Expense,2010,125.632
New York City Transit,New York City Transit,,379.761,379.761,1/1/2010, ,Paratransit Service Contracts,Non-labor Expense,2010,379.761
